_m,n_all,imp,wor,n_dir,disag_A,disag_B
1933-03,19,16,2,18,0.3157894736842106,0.22222222222222232
1933-04,27,16,5,21,0.8148148148148149,0.4761904761904763
1933-05,24,16,1,17,0.6666666666666667,0.11764705882352944
1933-06,15,12,1,13,0.3999999999999999,0.15384615384615374
1933-07,23,16,1,17,0.6086956521739131,0.11764705882352944
1933-08,19,16,1,17,0.3157894736842106,0.11764705882352944
1933-09,13,7,4,11,0.9230769230769231,0.7272727272727273
1933-10,23,13,2,15,0.8695652173913044,0.2666666666666666
1933-11,10,7,3,10,0.6000000000000001,0.6000000000000001
1933-12,49,37,2,39,0.48979591836734704,0.10256410256410264
1934-01,49,33,4,37,0.653061224489796,0.21621621621621623
1934-02,30,23,2,25,0.46666666666666656,0.15999999999999992
1934-03,15,8,5,13,0.9333333333333333,0.7692307692307692
1934-04,13,4,2,6,0.6153846153846154,0.6666666666666667
1934-05,14,4,5,9,0.5714285714285714,0.8888888888888888
1934-06,20,13,4,17,0.7,0.47058823529411775
1934-07,24,15,4,19,0.75,0.42105263157894735
1934-08,13,8,1,9,0.7692307692307692,0.22222222222222232
1934-09,27,12,7,19,0.8888888888888888,0.736842105263158
1934-10,24,15,4,19,0.75,0.42105263157894735
1934-11,24,18,0,18,0.5,0.0
1934-12,31,21,3,24,0.6451612903225807,0.25
1935-01,30,23,3,26,0.46666666666666656,0.23076923076923084
1935-02,32,20,4,24,0.75,0.33333333333333326
1935-03,24,15,3,18,0.75,0.33333333333333326
1935-04,25,14,5,19,0.8799999999999999,0.5263157894736843
1935-05,17,12,3,15,0.588235294117647,0.3999999999999999
1935-06,24,14,7,21,0.8333333333333333,0.6666666666666667
1935-07,44,27,6,33,0.7727272727272727,0.36363636363636354
1935-08,21,10,7,17,0.9523809523809523,0.8235294117647058
1935-09,25,22,1,23,0.24,0.08695652173913038
1935-10,30,18,6,24,0.8,0.5
1935-11,21,13,4,17,0.7619047619047619,0.47058823529411775
1935-12,43,36,3,39,0.3255813953488371,0.15384615384615374
1936-01,36,20,6,26,0.8888888888888888,0.46153846153846145
1936-02,22,14,5,19,0.7272727272727273,0.5263157894736843
1936-03,17,12,0,12,0.588235294117647,0.0
1936-04,10,6,2,8,0.8,0.5
1936-05,24,18,5,23,0.5,0.4347826086956521
1936-06,7,4,3,7,0.8571428571428572,0.8571428571428572
1936-07,17,6,5,11,0.7058823529411765,0.9090909090909092
1936-08,18,14,1,15,0.4444444444444444,0.1333333333333333
1936-09,23,19,2,21,0.34782608695652173,0.19047619047619047
1936-10,26,14,7,21,0.9230769230769231,0.6666666666666667
1936-11,15,10,3,13,0.6666666666666667,0.46153846153846145
1936-12,30,19,5,24,0.7333333333333334,0.41666666666666674
1937-01,35,24,2,26,0.6285714285714286,0.15384615384615374
1937-02,10,8,0,8,0.3999999999999999,0.0
1937-03,13,8,2,10,0.7692307692307692,0.3999999999999999
1937-04,24,14,4,18,0.8333333333333333,0.4444444444444444
1937-05,16,11,1,12,0.625,0.16666666666666674
1937-06,34,17,11,28,1.0,0.7857142857142858
1937-07,24,10,8,18,0.8333333333333334,0.8888888888888888
1937-08,30,20,1,21,0.6666666666666667,0.09523809523809534
1937-09,30,13,12,25,0.8666666666666667,0.96
1937-10,30,13,10,23,0.8666666666666667,0.8695652173913044
1937-11,31,9,12,21,0.5806451612903226,0.8571428571428571
1937-12,38,14,9,23,0.7368421052631579,0.7826086956521738
1938-01,34,20,13,33,0.8235294117647058,0.7878787878787878
1938-02,29,16,5,21,0.896551724137931,0.4761904761904763
1938-03,17,10,4,14,0.8235294117647058,0.5714285714285714
1938-04,31,19,8,27,0.7741935483870968,0.5925925925925926
1938-05,19,7,11,18,0.7368421052631579,0.7777777777777778
1938-06,28,18,7,25,0.7142857142857142,0.56
1938-07,34,22,10,32,0.7058823529411764,0.625
1938-08,21,18,1,19,0.2857142857142858,0.10526315789473695
1938-09,17,15,0,15,0.23529411764705888,0.0
1938-10,31,22,2,24,0.5806451612903225,0.16666666666666674
1938-11,21,13,2,15,0.7619047619047619,0.2666666666666666
1938-12,47,28,6,34,0.8085106382978724,0.3529411764705883
1939-01,50,39,3,42,0.43999999999999995,0.1428571428571428
1939-02,24,19,4,23,0.41666666666666674,0.34782608695652173
1939-03,19,15,3,18,0.42105263157894735,0.33333333333333326
1939-04,19,15,2,17,0.42105263157894735,0.23529411764705888
1939-05,24,18,3,21,0.5,0.2857142857142858
1939-06,19,13,3,16,0.631578947368421,0.375
1939-07,28,14,8,22,1.0,0.7272727272727273
1939-08,23,10,10,20,0.8695652173913043,1.0
1939-09,15,11,2,13,0.5333333333333334,0.3076923076923077
1939-10,37,19,11,30,0.972972972972973,0.7333333333333334
1939-11,20,8,7,15,0.8,0.9333333333333333
1939-12,33,20,4,24,0.7878787878787878,0.33333333333333326
1940-01,18,8,3,11,0.8888888888888888,0.5454545454545454
1940-02,32,20,7,27,0.75,0.5185185185185186
1940-03,28,20,7,27,0.5714285714285714,0.5185185185185186
1940-04,20,11,6,17,0.8999999999999999,0.7058823529411764
1940-05,6,3,3,6,1.0,1.0
1940-06,18,12,4,16,0.6666666666666667,0.5
1940-07,30,21,4,25,0.6000000000000001,0.32000000000000006
1940-08,27,16,2,18,0.8148148148148149,0.22222222222222232
1940-09,29,17,3,20,0.8275862068965518,0.30000000000000004
1940-10,17,11,2,13,0.7058823529411764,0.3076923076923077
1940-11,17,10,3,13,0.8235294117647058,0.46153846153846145
1940-12,22,8,5,13,0.7272727272727273,0.7692307692307692
1941-01,39,24,7,31,0.7692307692307692,0.4516129032258065
1941-02,18,12,4,16,0.6666666666666667,0.5
1941-03,9,7,1,8,0.4444444444444444,0.25
1941-04,9,2,4,6,0.4444444444444444,0.6666666666666666
1941-05,8,5,1,6,0.75,0.33333333333333326
1941-06,16,6,2,8,0.75,0.5
1941-07,6,3,1,4,1.0,0.5
1941-08,7,4,2,6,0.8571428571428572,0.6666666666666667
1941-09,5,4,1,5,0.3999999999999999,0.3999999999999999
1941-10,9,4,3,7,0.8888888888888888,0.8571428571428572
1941-11,11,7,1,8,0.7272727272727273,0.25
1941-12,7,4,1,5,0.8571428571428572,0.3999999999999999
1942-01,34,10,8,18,0.5882352941176471,0.8888888888888888
1942-02,5,3,2,5,0.8,0.8
1942-03,11,6,3,9,0.9090909090909092,0.6666666666666667
1942-04,8,6,2,8,0.5,0.5
1942-05,14,6,3,9,0.8571428571428571,0.6666666666666667
1942-06,11,4,2,6,0.7272727272727273,0.6666666666666667
