forecast_date,forecast_growth,source_file,pred_direction,realized_direction,hit,source,forecaster_id,variable_native,variable_canonical,horizon_native
1978-10-11,3.3499999999999996,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-11-15,2.175,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-12-13,2.1,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1979-01-31,1.45,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1979-03-14,1.325,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1979-04-11,1.1,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1979-05-16,1.0250000000000001,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1979-07-03,-0.10000000000000003,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1979-08-08,-0.025000000000000022,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1979-09-12,-0.775,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1979-10-12,-0.35,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1979-11-14,-1.375,gRGDP_1967_1984.xlsx,worsen,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-01-03,-1.2249999999999999,gRGDP_1967_1984.xlsx,worsen,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-01-30,-2.2500000000000004,gRGDP_1967_1984.xlsx,worsen,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1980-03-14,-2.875,gRGDP_1967_1984.xlsx,worsen,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
