source,forecaster_id,variable_canonical,forecast_date,horizon_native,pred_growth,pred_direction,realized_direction,hit,source_file,variable_native,year
greenbook,fed_staff,general_business,1978-07-12,+1..+4Q,3.625,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-08-09,+1..+4Q,3.625,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-09-13,+1..+4Q,3.55,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-10-11,+1..+4Q,3.3499999999999996,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-11-15,+1..+4Q,2.175,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-12-13,+1..+4Q,2.1,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1979-01-31,+1..+4Q,1.45,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1979
greenbook,fed_staff,general_business,1979-03-14,+1..+4Q,1.325,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1979
greenbook,fed_staff,general_business,1979-04-11,+1..+4Q,1.1,improve,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1979
greenbook,fed_staff,general_business,1979-05-16,+1..+4Q,1.0250000000000001,improve,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1979
greenbook,fed_staff,general_business,1979-07-03,+1..+4Q,-0.10000000000000003,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1979
greenbook,fed_staff,general_business,1979-08-08,+1..+4Q,-0.025000000000000022,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1979
greenbook,fed_staff,general_business,1979-09-12,+1..+4Q,-0.775,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1979
greenbook,fed_staff,general_business,1979-10-12,+1..+4Q,-0.35,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1979
greenbook,fed_staff,general_business,1979-11-14,+1..+4Q,-1.375,worsen,no_change,0.0,gRGDP_1967_1984.xlsx,gRGDP,1979
