month,n_claims,n_directional,net_direction,share_worsen,share_improve,disagreement,hedge_rate,mean_horizon,share_named,share_expert,share_official,share_journalist,n_all_claims,n_pages,attention
1914-10,35.0,35.0,0.7714285714285715,0.11428571428571428,0.8857142857142857,0.22857142857142854,0.2,7.4,0.5428571428571428,0.5714285714285714,0.08571428571428572,0.34285714285714286,56,30,186.66666666666666
1914-11,21.0,21.0,0.8095238095238095,0.09523809523809523,0.9047619047619048,0.19047619047619047,0.23809523809523808,7.75,0.3333333333333333,0.38095238095238093,0.19047619047619047,0.38095238095238093,53,30,176.66666666666666
1914-12,27.0,27.0,0.9259259259259259,0.037037037037037035,0.9629629629629629,0.07407407407407407,0.2222222222222222,12.0,0.4444444444444444,0.2222222222222222,0.2962962962962963,0.48148148148148145,60,30,200.0
1915-01,48.0,48.0,0.75,0.125,0.875,0.25,0.2916666666666667,10.5,0.7291666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,67,29,231.0344827586207
1915-02,21.0,21.0,0.5238095238095238,0.23809523809523808,0.7619047619047619,0.47619047619047616,0.3333333333333333,10.8,0.2857142857142857,0.3333333333333333,0.14285714285714285,0.47619047619047616,60,29,206.89655172413794
1915-03,18.0,18.0,0.8888888888888888,0.05555555555555555,0.9444444444444444,0.11111111111111116,0.3333333333333333,6.0,0.3888888888888889,0.6666666666666666,0.0,0.3333333333333333,44,30,146.66666666666666
1915-04,35.0,35.0,0.7714285714285715,0.11428571428571428,0.8857142857142857,0.22857142857142854,0.37142857142857144,9.0,0.5428571428571428,0.5142857142857142,0.17142857142857143,0.2857142857142857,71,30,236.66666666666666
1915-05,31.0,31.0,0.4838709677419355,0.25806451612903225,0.7419354838709677,0.5161290322580645,0.3225806451612903,19.0,0.4838709677419355,0.3870967741935484,0.0967741935483871,0.3870967741935484,44,29,151.72413793103448
1915-06,15.0,15.0,0.8666666666666667,0.06666666666666667,0.9333333333333333,0.1333333333333333,0.3333333333333333,12.0,0.6,0.3333333333333333,0.4,0.26666666666666666,42,29,144.82758620689654
1915-07,8.0,8.0,0.5,0.25,0.75,0.5,0.375,6.0,0.5,0.375,0.25,0.375,30,30,100.0
1915-08,39.0,36.0,0.7222222222222222,0.1388888888888889,0.8611111111111112,0.2777777777777778,0.23076923076923078,9.0,0.20512820512820512,0.20512820512820512,0.05128205128205128,0.7435897435897436,80,30,266.6666666666667
1915-09,23.0,22.0,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.18181818181818177,0.43478260869565216,,0.2608695652173913,0.34782608695652173,0.08695652173913043,0.4782608695652174,53,27,196.2962962962963
1915-10,18.0,18.0,0.5555555555555556,0.2222222222222222,0.7777777777777778,0.4444444444444444,0.3333333333333333,,0.5,0.4444444444444444,0.16666666666666666,0.3888888888888889,47,29,162.06896551724137
1915-11,13.0,13.0,0.6923076923076923,0.15384615384615385,0.8461538461538461,0.3076923076923077,0.0,,0.6923076923076923,0.6923076923076923,0.0,0.23076923076923078,37,29,127.58620689655173
1915-12,23.0,22.0,0.18181818181818182,0.4090909090909091,0.5909090909090909,0.8181818181818181,0.2608695652173913,7.75,0.21739130434782608,0.21739130434782608,0.043478260869565216,0.6956521739130435,59,30,196.66666666666666
1916-01,27.0,24.0,0.4166666666666667,0.2916666666666667,0.7083333333333334,0.5833333333333333,0.6296296296296297,12.0,0.4444444444444444,0.5925925925925926,0.1111111111111111,0.2962962962962963,53,29,182.75862068965517
1916-02,8.0,8.0,0.75,0.125,0.875,0.25,0.25,9.0,0.5,0.5,0.125,0.375,48,30,160.0
1916-03,24.0,24.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666667,0.3333333333333333,9.0,0.25,0.25,0.125,0.625,46,30,153.33333333333334
1916-04,16.0,16.0,0.375,0.3125,0.6875,0.625,0.25,12.0,0.5625,0.5,0.25,0.25,36,29,124.13793103448276
1916-05,15.0,15.0,0.2,0.4,0.6,0.8,0.2,12.0,0.26666666666666666,0.4666666666666667,0.06666666666666667,0.4666666666666667,41,27,151.85185185185185
1916-06,25.0,23.0,0.391304347826087,0.30434782608695654,0.6956521739130435,0.6086956521739131,0.36,12.0,0.44,0.44,0.04,0.52,50,29,172.41379310344828
1916-07,18.0,18.0,0.5555555555555556,0.2222222222222222,0.7777777777777778,0.4444444444444444,0.2777777777777778,6.0,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.4444444444444444,43,30,143.33333333333334
1916-08,12.0,11.0,-0.09090909090909091,0.5454545454545454,0.45454545454545453,0.9090909090909091,0.16666666666666666,12.0,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,31,26,119.23076923076923
1916-09,10.0,10.0,0.6,0.2,0.8,0.4,0.6,12.0,0.2,0.2,0.1,0.5,30,25,120.0
1916-10,18.0,18.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666667,0.6666666666666666,12.0,0.2777777777777778,0.3888888888888889,0.0,0.6111111111111112,42,26,161.53846153846155
